 num     #instances         #bytes  class name (module)
 250:            53           1272  java.security.Permissions (java.base@16.0.2)
 251:            53           1272  java.util.regex.Pattern$$Lambda$21/0x80000002b (java.base@16.0.2)
 252:            53           1272  org.eclipse.sisu.wire.BeanProviders$7
 253:            79           1264  org.eclipse.sisu.wire.EntrySetAdapter
 254:            39           1248  java.lang.invoke.BoundMethodHandle$Species_L (java.base@16.0.2)
 255:            14           1232  org.apache.maven.plugin.descriptor.PluginDescriptor
 256:            30           1200  java.time.temporal.ChronoField (java.base@16.0.2)
 257:            38           1184  [Ljava.math.BigInteger; (java.base@16.0.2)
 258:            49           1176  java.io.FilePermissionCollection (java.base@16.0.2)
 259:            49           1176  org.eclipse.sisu.plexus.ConfigurationImpl
 260:             2           1168  [Lorg.mariadb.jdbc.internal.ColumnType;
 261:            48           1152  java.util.jar.Manifest (java.base@16.0.2)
 262:            28           1120  org.apache.maven.model.ActivationFile
 263:            28           1120  org.mariadb.jdbc.internal.ColumnType
 264:            23           1104  java.util.logging.LogManager$LoggerWeakRef (java.logging@16.0.2)
 265:             1           1096  [Lsun.security.util.KnownOIDs; (java.base@16.0.2)
 266:            68           1088  jdk.proxy2.$Proxy22 (jdk.proxy2)
 267:             2           1080  [Ljava.lang.Integer; (java.base@16.0.2)
 268:            43           1072  [Lorg.eclipse.aether.graph.Exclusion;
 269:             2           1064  [Ljava.lang.Long; (java.base@16.0.2)
 270:            36           1048  [Lcom.google.inject.internal.SingleParameterInjector;
 271:             1           1040  [Ljava.lang.Byte; (java.base@16.0.2)
 272:             1           1040  [Ljava.lang.Short; (java.base@16.0.2)
 273:            26           1040  java.lang.invoke.DirectMethodHandle$Constructor (java.base@16.0.2)
 274:            26           1040  org.apache.maven.model.ActivationProperty
 275:            32           1024  java.util.regex.Pattern$Branch (java.base@16.0.2)
 276:            16           1024  org.apache.maven.model.Notifier
 277:            64           1024  org.eclipse.aether.internal.impl.DefaultUpdatePolicyAnalyzer
 278:             7           1008  [Ljava.lang.invoke.MemberName; (java.base@16.0.2)
 279:            42           1008  sun.reflect.generics.scope.ClassScope (java.base@16.0.2)
 280:            31            992  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@16.0.2)
 281:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@16.0.2)
 282:            31            992  sun.nio.fs.UnixFileKey (java.base@16.0.2)
 283:            41            984  org.apache.maven.artifact.versioning.ComparableVersion$ListItem
 284:            41            984  org.slf4j.impl.MavenSimpleLogger
 285:            30            960  java.security.Provider$EngineDescription (java.base@16.0.2)
 286:            60            960  java.util.concurrent.atomic.AtomicInteger (java.base@16.0.2)
 287:            40            960  org.eclipse.aether.internal.impl.DefaultRemoteRepositoryManager
 288:            60            960  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes (java.base@16.0.2)
 289:            17            952  org.apache.maven.model.Resource
 290:            59            944  jdk.internal.module.SystemModuleFinders$3 (java.base@16.0.2)
 291:            29            928  jdk.internal.loader.NativeLibraries (java.base@16.0.2)
 292:            23            920  org.apache.maven.model.Organization
 293:            57            912  java.util.regex.Pattern$$Lambda$19/0x800000026 (java.base@16.0.2)
 294:            38            912  org.apache.maven.artifact.versioning.ComparableVersion
 295:            38            912  org.apache.maven.artifact.versioning.VersionRange
 296:            57            912  org.apache.maven.model.building.FileModelSource
 297:            37            888  java.lang.ProcessEnvironment$Value (java.base@16.0.2)
 298:            37            888  java.lang.ProcessEnvironment$Variable (java.base@16.0.2)
 299:            37            888  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@16.0.2)
 300:            32            864  [Ljava.util.regex.Pattern$Node; (java.base@16.0.2)
 301:             6            864  java.text.DecimalFormat (java.base@16.0.2)
 302:            27            864  org.eclipse.sisu.inject.LazyBeanEntry
 303:            53            848  java.security.SecureClassLoader$CodeSourceKey (java.base@16.0.2)
 304:            21            840  java.security.AccessControlContext (java.base@16.0.2)
 305:            21            840  org.apache.maven.model.IssueManagement
 306:            26            832  sun.reflect.annotation.AnnotationType (java.base@16.0.2)
 307:            25            800  sun.reflect.generics.repository.ClassRepository (java.base@16.0.2)
 308:            49            784  java.util.jar.Attributes (java.base@16.0.2)
 309:            48            768  java.util.concurrent.atomic.AtomicReferenceArray (java.base@16.0.2)
 310:            24            768  java.util.logging.LogManager$LogNode (java.logging@16.0.2)
 311:            32            768  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@16.0.2)
 312:            24            768  org.apache.maven.model.DependencyManagement
 313:            47            752  java.util.HashMap$KeySet (java.base@16.0.2)
 314:            31            744  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@16.0.2)
 315:            46            736  jdk.proxy2.$Proxy8 (jdk.proxy2)
 316:            18            720  com.google.common.cache.LocalCache$WeakEntry
 317:            18            720  java.time.format.DateTimeFormatter (java.base@16.0.2)
 318:            18            720  org.apache.maven.model.Exclusion
 319:            22            704  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@16.0.2)
 320:            44            704  java.util.concurrent.ConcurrentHashMap$EntrySetView (java.base@16.0.2)
 321:            44            704  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@16.0.2)
 322:            44            704  org.eclipse.sisu.bean.BeanInjector
 323:            37            696  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@16.0.2)
 324:            29            696  java.util.regex.Pattern$CharPropertyGreedy (java.base@16.0.2)
 325:            29            696  org.eclipse.sisu.inject.RankedSequence$Content
 326:            17            680  java.lang.invoke.DirectMethodHandle$Accessor (java.base@16.0.2)
 327:            42            672  org.eclipse.aether.graph.Dependency$Exclusions
 328:             5            640  [D (java.base@16.0.2)
 329:            16            640  com.google.common.collect.RegularImmutableSet
 330:            40            640  org.eclipse.aether.internal.impl.DefaultChecksumPolicyProvider
 331:            40            640  org.eclipse.aether.internal.impl.DefaultSyncContextFactory
 332:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@16.0.2)
 333:            26            624  com.google.inject.spi.TypeConverterBinding
 334:            26            624  java.util.ImmutableCollections$ListN (java.base@16.0.2)
 335:            11            616  sun.util.calendar.ZoneInfo (java.base@16.0.2)
 336:            19            608  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@16.0.2)
 337:            25            600  sun.reflect.generics.tree.ClassSignature (java.base@16.0.2)
 338:            37            592  java.util.regex.Pattern$BitClass (java.base@16.0.2)
 339:            37            592  org.eclipse.sisu.inject.RankedSequence
 340:            28            576  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@16.0.2)
 341:            18            576  java.util.regex.Pattern$Curly (java.base@16.0.2)
 342:            36            576  jdk.proxy1.$Proxy15 (jdk.proxy1)
 343:            18            576  org.eclipse.sisu.inject.RankedBindings
 344:            18            576  org.fusesource.jansi.Ansi$Attribute
 345:            24            576  org.kohsuke.args4j.OptionHandlerRegistry$DefaultConstructorHandlerFactory
 346:            14            560  java.util.IdentityHashMap (java.base@16.0.2)
 347:             7            560  java.util.concurrent.TimeUnit (java.base@16.0.2)
 348:            10            560  java.util.logging.Logger (java.logging@16.0.2)
 349:            14            560  java.util.regex.Pattern$Loop (java.base@16.0.2)
 350:            10            560  sun.invoke.util.Wrapper (java.base@16.0.2)
 351:            34            544  org.eclipse.aether.internal.impl.DefaultRepositoryEventDispatcher
 352:            25            536  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@16.0.2)
 353:             1            528  [Ljava.lang.Character; (java.base@16.0.2)
 354:            11            528  java.lang.invoke.LambdaFormEditor$Transform (java.base@16.0.2)
 355:             6            528  java.text.DecimalFormatSymbols (java.base@16.0.2)
 356:            22            528  java.util.regex.Pattern$SliceI (java.base@16.0.2)
 357:             6            528  org.apache.maven.model.Contributor
 358:            22            528  org.eclipse.sisu.plexus.PlexusLifecycleManager$2
 359:            13            520  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@16.0.2)
 360:            13            520  org.apache.maven.plugin.DefaultPluginDescriptorCache$CacheKey
 361:             8            512  java.nio.DirectByteBuffer (java.base@16.0.2)
 362:            16            512  java.time.temporal.ChronoUnit (java.base@16.0.2)
 363:            32            512  java.util.regex.Pattern$BranchConn (java.base@16.0.2)
 364:            17            504  [Ljava.io.ObjectStreamField; (java.base@16.0.2)
 365:            15            504  [Ljava.lang.annotation.ElementType; (java.base@16.0.2)
 366:            21            504  com.google.inject.Key$AnnotationTypeStrategy
 367:            21            504  java.util.AbstractMap$SimpleImmutableEntry (java.base@16.0.2)
 368:             7            496  [Lsun.invoke.util.Wrapper; (java.base@16.0.2)
 369:            12            480  java.lang.OutOfMemoryError (java.base@16.0.2)
 370:            12            480  java.lang.WeakPairMap$Pair$Weak (java.base@16.0.2)
 371:            29            464  java.util.regex.Pattern$CharPredicate$$Lambda$23/0x80000002e (java.base@16.0.2)
 372:            19            456  com.google.inject.spi.ModuleSource
 373:            19            456  java.time.Duration (java.base@16.0.2)
 374:            19            456  org.eclipse.aether.RepositoryEvent$EventType
 375:             4            448  java.util.GregorianCalendar (java.base@16.0.2)
 376:            11            440  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@16.0.2)
 377:            11            440  java.util.logging.Logger$ConfigurationData (java.logging@16.0.2)
 378:             1            432  [[[C (java.base@16.0.2)
 379:            18            432  java.text.DateFormat$Field (java.base@16.0.2)
 380:            18            432  java.util.regex.Pattern$BmpCharPredicate$$Lambda$22/0x80000002c (java.base@16.0.2)
 381:            27            432  org.apache.maven.cli.logging.Slf4jLogger
 382:            27            432  org.eclipse.sisu.inject.LazyBeanEntry$JsrNamed
 383:            18            432  org.eclipse.sisu.inject.MildElements
 384:            18            432  sun.reflect.generics.repository.FieldRepository (java.base@16.0.2)
 385:            26            416  java.util.LinkedHashMap$LinkedEntrySet (java.base@16.0.2)
 386:            13            416  sun.security.jca.ProviderConfig (java.base@16.0.2)
 387:            17            408  org.apache.maven.execution.ExecutionEvent$Type
 388:            17            408  org.eclipse.sisu.plexus.PlexusConfigurations$ConfigurationProvider
 389:            17            408  sun.nio.ch.OptionKey (java.base@16.0.2)
 390:            17            408  sun.nio.ch.SocketOptionRegistry$RegistryKey (java.base@16.0.2)
 391:             1            400  [Lorg.mariadb.jdbc.util.DefaultOptions;
 392:             9            392  [Ljava.lang.invoke.MethodType; (java.base@16.0.2)
 393:             7            392  org.eclipse.aether.internal.impl.DefaultRepositorySystem
 394:            12            384  [Lcom.google.common.cache.LocalCache$Segment;
 395:             4            384  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@16.0.2)
 396:            12            384  java.lang.WeakPairMap$Pair$Weak$1 (java.base@16.0.2)
 397:            16            384  java.lang.invoke.Invokers (java.base@16.0.2)
 398:             6            384  java.text.DateFormatSymbols (java.base@16.0.2)
 399:             8            384  java.util.TreeMap (java.base@16.0.2)
